name,mass,mzoffset_1,mzoffset_2,mzoffset_3,mzoffset_4,mzoffset_5,mzoffset_6,mzoffset_7,mzoffset_8,mzoffset_9,mzoffset_10,mzoffset_11,mzoffset_12,mzoffset_13,mzoffset_14,mzoffset_15,mzoffset_16,mzoffset_17,mzoffset_18,mzoffset_19,mzoffset_20,mzoffset_21,elution_1,elution_2,elution_3,elution_4,elution_5,elution_6,elution_7,elution_8,elution_9,elution_10,elution_11,elution_12,elution_13,elution_14,elution_15,elution_16,elution_17,elution_18,elution_19,elution_20,elution_21,ioncount_1,ioncount_2,ioncount_3,ioncount_4,ioncount_5,ioncount_6,ioncount_7,ioncount_8,ioncount_9,ioncount_10,ioncount_11,ioncount_12,ioncount_13,ioncount_14,ioncount_15,ioncount_16,ioncount_17,ioncount_18,ioncount_19,ioncount_20,ioncount_21,files_1,files_2,files_3,files_4,files_5,files_6,files_7
406A07,349.1426414918,0,0,0,3.62047431963219e-05,2.61619541106484e-05,0.000370530492602938,-0.00153327555199212,0,0,0,0.00249445612661248,NaN,0.000629092363453765,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,14.1832,14.25325,14.2787166666667,14.1884,0,0,0,14.23315,NaN,14.2620666666667,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,32692.5859375,13098.6337890625,21293.224609375,24863.509765625,0,0,0,1714.32043457031,NaN,2649.57275390625,NaN,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-D1,V256B-E1,V5120
406A08,439.1743355507,0,0,0,0.000196026588696441,-0.00136621344302057,-0.000106807014446986,0.000149139509630913,0,0,0,NaN,0.00153063921993635,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,13.0844333333333,13.1703166666667,13.16235,13.0896166666667,0,0,0,NaN,13.1536666666667,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,28486.662109375,23462.318359375,3068.10766601562,16167.2451171875,0,0,0,NaN,1803.4765625,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-C1,V256B-H2,V5120
406A09,451.210721057,0,0,0,-0.000127016035548877,-0.00356275909064152,0,8.26783268053077e-05,0,0,0,0.00108089598512606,NaN,0,NaN,0,0,0,NaN,NaN,0,-0.000612316766250842,0,0,0,17.413,17.4973333333333,0,17.6678333333333,0,0,0,17.413,NaN,0,NaN,0,0,0,NaN,NaN,0,17.5513333333333,0,0,0,51275.1953125,4058.26171875,0,1132.1494140625,0,0,0,4253.09130859375,NaN,0,NaN,0,0,0,NaN,NaN,0,1424.81860351562,,,,R320-A,V256A-E1,,V5120
406A10,361.1790269981,0,0,0,-0.000238281187705525,-0.00063794140629625,0.000429675766554283,0.0022338449401218,0,0,0,0.000905789902958531,NaN,-0.000386497046804379,-0.0027737442653688,0,0,0,NaN,NaN,NaN,NaN,0,0,0,20.6426666666667,20.7605,20.7565,20.6978333333333,0,0,0,20.6426666666667,NaN,20.74,20.6978333333333,0,0,0,NaN,NaN,NaN,NaN,0,0,0,68607.109375,52010.46875,40561.54296875,63078.3828125,0,0,0,5685.767578125,NaN,5197.771484375,12756.30078125,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-A2,V256B-A2,V5120
406A11,349.1426414918,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-H2,V256B-F2,V5120
406B02,417.132470736,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-E1,V256B-F2,V5120
406B03,417.1147121818,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-D2,V256B-H1,V5120
406B04,409.1637708644,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-D1,"V256B-B1,V256B-H2",V5120
406B05,391.1895916844,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-C1,V256B-A2,V5120
406B06,419.2208918128,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-B3,V256B-G2,V5120
406B07,429.051379324175,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-G2,V256B-A3,V5120
