srcplate384	srcwell384	srcplate96	srcwell96	mass	destplate1	destwell1	destplate2	destwell2	destplate3	destwell3	destplate4	destwell4	destplate5	destwell5	destplate6	destwell6	destplate7	destwell7	destplate8	destwell8	destplate9	destwell9	destplate10	destwell10
CDIQ0005	C11	CDIV0005	B06	355.1784	V64A	O02	V64A	K06	V64A	B11	V64A	K19	V64A	H23	V64B	A06	V64B	J08	V64B	N15	V64B	D21	RC	1
CDIQ0005	E11	CDIV0005	C06	335.0924	V64A	D02	V64A	B10	V64A	I13	V64A	M19	V64A	O22	V64B	F04	V64B	B11	V64B	M12	V64B	D22	RE	1
CDIQ0005	G11	CDIV0005	D06	382.1529	V64A	D05	V64A	B08	V64A	D12	V64A	G20	V64B	D02	V64B	C04	V64B	K10	V64B	K15	V64B	E18	RG	1
CDIQ0005	I11	CDIV0005	E06	327.1471	V64A	K02	V64A	O10	V64A	N11	V64A	O16	V64A	B21	V64B	B03	V64B	O10	V64B	J16	V64B	G22	RI	1
CDIQ0005	K11	CDIV0005	F06	419.0368	V64A	D02	V64A	H10	V64A	B12	V64A	L15	V64A	G24	V64B	M02	V64B	D08	V64B	N15	V64B	E17	RK	1
CDIQ0005	M11	CDIV0005	G06	371.1733	V64A	A05	V64A	P10	V64A	M14	V64A	C19	V64B	F02	V64B	I04	V64B	D09	V64B	G15	V64B	P17	RM	1
CDIQ0005	O11	CDIV0005	H06	418.1926	V64A	G03	V64A	M06	V64A	J12	V64A	N18	V64A	M24	V64B	M04	V64B	B09	V64B	K14	V64B	G19	RO	1
CDIQ0005	B11	CDIV0007	A06	317.1025	V64A	D04	V64A	I07	V64A	P14	V64A	O16	V64A	J22	V64B	F05	V64B	G07	V64B	P16	V64B	G21	RB	1
CDIQ0005	D11	CDIV0007	B06	281.0390	V64A	E04	V64A	H09	V64A	D15	V64A	G19	V64B	D01	V64B	L04	V64B	C08	V64B	M12	V64B	H17	RD	1
CDIQ0005	F11	CDIV0007	C06	315.9557	V64A	L03	V64A	O09	V64A	B16	V64A	K16	V64A	H23	V64B	L01	V64B	B07	V64B	J15	V64B	C17	RF	1
CDIQ0005	H11	CDIV0007	D06	254.0402	V64A	P01	V64A	J10	V64A	H12	V64A	C20	V64A	H24	V64B	M05	V64B	E12	V64B	H15	V64B	A18	RH	1
CDIQ0005	J11	CDIV0007	E06	298.0664	V64A	C03	V64A	I07	V64A	H12	V64A	A20	V64B	F02	V64B	M06	V64B	P10	V64B	F15	V64B	L18	RJ	1
CDIQ0005	L11	CDIV0007	F06	322.1317	V64A	K02	V64A	P09	V64A	A14	V64A	P18	V64A	M21	V64B	O06	V64B	N08	V64B	N13	V64B	E22	RL	1
CDIQ0005	N11	CDIV0007	G06	295.0957	V64A	L04	V64A	I05	V64A	C15	V64A	G18	V64A	O24	V64B	I01	V64B	D12	V64B	E15	V64B	F18	RN	1
